# Inverse covariance matrix for the global fit to precision observables.
# Calculated from the correlation matrix and uncertainties on the central 
# values of c0.dat.
79780.7 79780.7 79780.7 693199. 322801. 183356. -250594. -207368. -88693.4 145047. 154215. 0 -64547.7 -68461.9 -177514. -177514. -492151. 32309.1 32309.1 105355. 0 0 0 0 0 0 2.18279e-11 0 0 0 0 0 0 0 0 0
-7878.82 0 0 -6554.63 0 0 -1595.04 0 0 0 0 0 0 0 0 0 0 0 0 0 1361.95 620.767 1353.44 0 0 0 0 0 0 0 0 0 0 0 0 0
-13223.5 0 0 -3833.61 0 0 -1680.88 0 0 0 0 0 0 0 0 0 0 0 0 0 620.767 484.959 671.713 0 0 0 0 0 0 0 0 0 0 0 0 0
-10504.5 0 0 -6748.33 0 0 -1849.61 0 0 0 0 0 0 0 0 0 0 0 0 0 1353.44 671.713 1366.08 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 14152.3 0 0 124021. 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 124872. 173420. 60587.6 0 0 0 0 0 0 0 0 0 0
0 0 0 -182906. 0 0 215236. 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 173420. 530917. 170513. 0 0 0 0 0 0 0 0 0 0
0 0 0 -119508. 0 0 7451.93 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 60587.6 170513. 121339. 0 0 0 0 0 0 0 0 0 0
-3.55913e6 -3.64748e6 100563. -27745.4 -27745.4 2.18279e-10 20520. 20520. 0 -383.1 -383.1 -2.84217e-14 -5.82077e-11 -8.73115e-11 383.1 383.1 2.84217e-14 2.91038e-11 1.45519e-11 2.18279e-11 0 0 0 0 0 0 1.94661e6 119848. 29525.7 29525.7 111327. -47259. 0 0 0 -3086.42
0 2376.18 0 -32042.4 -25369.2 0 20658.9 20520. 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 119848. 121996. 29525.7 29456.3 111327. 0 0 0 0 0
0 0 0 3939.74 3939.74 0 -7064.62 -7064.62 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 29525.7 29525.7 48440.4 48440.4 27429.4 0 0 0 0 0
0 -2059.72 0 4078.63 1880.02 0 -11361.6 -7064.62 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 29525.7 29456.3 48440.4 50588.9 27429.4 0 0 0 0 0
0 0 0 -25757.9 -25757.9 0 19049.8 19049.8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 111327. 111327. 27429.4 27429.4 103412. 0 0 0 0 0
0. 94518. -94518. -14480.4 0 -14480.4 10849.9 0 10849.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -47259. 0 0 0 0 107772. 60513.1 13458. 56206.3 0
0 0 0 -14480.4 0 -14480.4 10849.9 0 10849.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 60513.1 60513.1 13458. 56206.3 0
0 0 0 3166.34 0 3166.34 -4778.76 0 -4778.76 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 13458. 13458. 27445.8 12501.1 0
0 0 0 -13441.6 0 -13441.6 10071.5 0 10071.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 56206.3 56206.3 12501.1 52206.2 0
6172.84 0. -6172.84 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -3086.42 0 0 0 0 0 0 0 0 3086.42
